vente_id,date,prix,rue,arrondissement,surface,pieces,longitude,latitude,prix_m2
2024-1193278,2024-01-04,200000.0,RUE STEPHENSON,18,30.0,2,2.35593,48.88785,6666.67
2024-1193281,2024-01-04,193000.0,RUE DE LA CHAPELLE,18,26.0,2,2.36034,48.89122,7423.08
2024-1193282,2024-01-04,320000.0,RUE MARTEL,10,46.0,2,2.3524,48.87386,6956.52
2024-1193297,2024-01-04,113000.0,RUE GALVANI,17,12.0,1,2.29258,48.88373,9416.67
2024-1193325,2024-01-04,130331.0,RUE DE TURENNE,3,11.0,1,2.3642,48.85774,11848.27
2024-1193335,2024-01-04,522000.0,AV TRUDAINE,9,40.0,2,2.34463,48.88131,13050.0
2024-1193351,2024-01-04,750700.0,RUE EUGENE VARLIN,10,84.0,4,2.36419,48.87809,8936.9
2024-1193360,2024-01-04,370000.0,RUE D ABOUKIR,2,58.0,3,2.3489,48.86855,6379.31
2024-1193373,2024-01-04,505700.0,RUE SAINT FARGEAU,20,48.0,2,2.40326,48.87238,10535.42
2024-1193381,2024-01-04,1230000.0,RUE DE BRUXELLES,9,110.0,5,2.32812,48.88294,11181.82
2024-1193385,2024-01-04,324400.0,RUE CAVALLOTTI,18,30.0,2,2.32869,48.88619,10813.33
2024-1193467,2024-01-04,330000.0,RUE DE SAMBRE ET MEUSE,10,37.0,2,2.37136,48.87451,8918.92
2024-1193551,2024-01-04,539000.0,RUE DE LA JONQUIERE,17,59.0,3,2.32048,48.89448,9135.59
2024-1193566,2024-01-04,780000.0,RUE DES PETITS CARREAUX,2,75.0,4,2.34755,48.8666,10400.0
2024-1193621,2024-01-04,587980.0,BD PEREIRE,17,59.0,2,2.28911,48.88115,9965.76
2024-1193743,2024-01-04,161000.0,RUE DE CLERY,2,19.0,1,2.34813,48.86871,8473.68
2024-1193833,2024-01-04,180000.0,RUE VERON,18,28.0,1,2.33643,48.88474,6428.57
2024-1193953,2024-01-04,370000.0,RUE LEGENDRE,17,41.0,2,2.32443,48.89016,9024.39
2024-1194050,2024-01-04,329300.0,BD DAVOUT,20,45.0,2,2.41049,48.84792,7317.78
